Reg_no,Gender,Degree,Tenth_marks,Eleventh_marks,Twelfth_marks,Income,Family_size ,Objective,Study_pattern,Time_spent_pattern,Extra_curricular_activity,Paused_resumed
st101,Female,II PU/12th,90.8,91.1,93.6,"Upper middle income ( 1,00,000 - 2,00,000)",3,"Yes, clear and specific.",4-6 days/week,3-4 hrs,Sports and Physical Activities,Paused and resumed due to academics.
st102,Male,II PU/12th,88.5,93,94.3,"Upper middle income ( 1,00,000 - 2,00,000)",4,Not specific enough.,2-3 days/week,1-2 hrs,Sports and Physical Activities,Completely stopped because of academics.
st103,Female,II PU/12th,98.8,97.3,97.8,"Middle income (50,000 - 1,00, 000)",4,"Yes, clear and specific.",Everyday,2-3 hrs,Others,Paused and resumed due to academics.
st104,Female,II PU/12th,90.8,96,92,"High income ( >  2,00,000)",above 5,"Yes, clear and specific.",4-6 days/week,2-3 hrs,Arts and Culture,Paused and resumed due to academics.
st105,Male,II PU/12th,90.6,91,96,"Upper middle income ( 1,00,000 - 2,00,000)",5,Not specific enough.,2-3 days/week,1-2 hrs,Sports and Physical Activities,Paused and resumed due to academics.
st106,Female,II PU/12th,96,98.17,98.8,"Middle income (50,000 - 1,00, 000)",5,"Yes, clear and specific.",Everyday,2-3 hrs,Sports and Physical Activities,Completely stopped because of academics.
st107,Female,II PU/12th,97.8,99,99,"High income ( >  2,00,000)",5,Not specific enough.,Everyday,2-3 hrs,Fitness and wellness,Completely stopped because of academics.
st108,Male,II PU/12th,91,96.8,96,"Middle income (50,000 - 1,00, 000)",3,"Yes, clear and specific.",2-3 days/week,3-4 hrs,Fitness and wellness,Never had to pause or stop because of academics.
st109,Male,II PU/12th,96.6,96.3,96.3,"High income ( >  2,00,000)",5,"Yes, clear and specific.",Everyday,4-5 hrs,Hobbies and Interest,Paused and resumed due to academics.
st110,Female,II PU/12th,95,96.7,97.5,"Middle income (50,000 - 1,00, 000)",3,"Yes, clear and specific.",4-6 days/week,2-3 hrs,Sports and Physical Activities,Completely stopped because of academics.
st111,Male,II PU/12th,96.5,97.6,98.33,"High income ( >  2,00,000)",above 5,Not specific enough.,4-6 days/week,1-2 hrs,Sports and Physical Activities,Paused and resumed due to academics.
st112,Female,II PU/12th,68.8,60,68,"High income ( >  2,00,000)",3,Not specific enough.,4-6 days/week,2-3 hrs,Academic and Intellectual,Paused and resumed due to academics.
st113,Female,II PU/12th,91,80,90.33,"Middle income (50,000 - 1,00, 000)",3,"Yes, clear and specific.",4-6 days/week,3-4 hrs,No extra curricular activities,
